title,year,rating,type,ganres
Being John Malkovich,1999,7.7,movie,Fantasy;Drama;Comedy
Office Space,1999,7.7,movie,Comedy
Big Daddy,1999,6.4,movie,Drama;Comedy
Notting Hill,1999,7.1,movie,Drama;Comedy;Romance
Drop Dead Gorgeous,1999,6.6,movie,Comedy;Thriller;Romance
American Pie,1999,7.0,movie,Comedy
Mystery Men,1999,6.1,movie,Fantasy;Comedy;Sci-Fi;Action
Galaxy Quest,1999,7.3,movie,Adventure;Comedy;Sci-Fi
Dogma,1999,7.3,movie,Adventure;Fantasy;Drama;Comedy
Austin Powers: The Spy Who Shagged Me,1999,6.6,movie,Adventure;Crime;Comedy;Action
Toy Story 2,1999,7.9,movie,Adventure;Family;Fantasy;Comedy;Animation
10 Things I Hate About You,1999,7.3,movie,Drama;Comedy;Romance
